ngens,dimension,c1,c2,w,mean,std
10,6,0.125,0.125,0.125,12.247631239512069,1.802524784663055
10,6,0.125,0.125,0.375,10.393564389164407,3.1649307614684465
10,6,0.125,0.125,0.625,11.054034729789885,2.2757947294414014
10,6,0.125,0.125,0.875,12.553596280707874,2.6868044987519957
10,6,0.125,0.375,0.125,5.808699186905732,2.0245157290322418
10,6,0.125,0.375,0.375,3.375769751098484,1.8354191414470704
10,6,0.125,0.375,0.625,7.450323716705509,1.8719602688593635
10,6,0.125,0.375,0.875,17.15319661000587,4.097219612711474
10,6,0.125,0.625,0.125,1.5533843668785252,1.1887086427991662
10,6,0.125,0.625,0.375,2.6487991922919023,1.0357452881135136
10,6,0.125,0.625,0.625,7.222831424837665,1.4545235117036583
10,6,0.125,0.625,0.875,17.017484267587015,4.106190934003259
10,6,0.125,0.875,0.125,1.3978705621397354,0.7878656614387174
10,6,0.125,0.875,0.375,3.2526619030908535,1.6114721840860633
10,6,0.125,0.875,0.625,9.476448421690517,2.440361342633631
10,6,0.125,0.875,0.875,20.36453920350588,1.177999419924617
10,6,0.375,0.125,0.125,14.119571392902037,1.7414882722159795
10,6,0.375,0.125,0.375,13.406103775355632,2.0940055826147055
10,6,0.375,0.125,0.625,11.36193897481153,1.4636640040704914
10,6,0.375,0.125,0.875,12.574135260094302,1.7659799656995596
10,6,0.375,0.375,0.125,6.410193653406817,1.818965088126175
10,6,0.375,0.375,0.375,2.5235143878277198,0.8915595868374323
10,6,0.375,0.375,0.625,5.401173479952405,1.144263481217912
10,6,0.375,0.375,0.875,12.742620148058071,1.062728684872301
10,6,0.375,0.625,0.125,2.9223263751354467,1.3108948043275126
10,6,0.375,0.625,0.375,1.5840238293456879,0.8517506190827593
10,6,0.375,0.625,0.625,6.561881599860096,1.3019006604814056
10,6,0.375,0.625,0.875,10.688317419171755,1.7934865128498492
10,6,0.375,0.875,0.125,0.8081751821836832,0.7444945849469057
10,6,0.375,0.875,0.375,3.0550978647337685,1.0836414007162032
10,6,0.375,0.875,0.625,7.191417258359981,0.9169180514873014
10,6,0.375,0.875,0.875,15.01791317603686,3.182039001413156
10,6,0.625,0.125,0.125,15.364617112319275,1.188741376327806
10,6,0.625,0.125,0.375,11.454390514152664,1.684535337121235
10,6,0.625,0.125,0.625,13.058758110348332,1.3403038018920688
10,6,0.625,0.125,0.875,15.583629575830866,2.5460545758894626
10,6,0.625,0.375,0.125,5.3832692377378475,2.5409701114047225
10,6,0.625,0.375,0.375,4.483882732341502,0.5364533456410123
10,6,0.625,0.375,0.625,6.974952705218354,1.93206973585523
10,6,0.625,0.375,0.875,9.156143726458811,2.789700756940751
10,6,0.625,0.625,0.125,2.0236906563952246,1.315875330319773
10,6,0.625,0.625,0.375,3.2255209357729115,1.0085967239166191
10,6,0.625,0.625,0.625,3.9063293638126355,1.155436537653028
10,6,0.625,0.625,0.875,10.976184554561495,2.1748652659284184
10,6,0.625,0.875,0.125,1.0366504769394838,0.5832178742961764
10,6,0.625,0.875,0.375,2.2088972001446465,0.8055222227702443
10,6,0.625,0.875,0.625,3.528128989635481,1.0130829193391446
10,6,0.625,0.875,0.875,14.14923389019047,2.298369908516663
10,6,0.875,0.125,0.125,16.25641025681599,1.2869671690558853
10,6,0.875,0.125,0.375,11.634782977135114,3.3390825978977072
10,6,0.875,0.125,0.625,11.5835977084957,3.128113069399597
10,6,0.875,0.125,0.875,15.98770931226581,3.34153324282973
10,6,0.875,0.375,0.125,5.442499245675473,2.561902536156382
10,6,0.875,0.375,0.375,3.5389313473304993,1.1126059929028986
10,6,0.875,0.375,0.625,7.163568449944225,0.8965664397586633
10,6,0.875,0.375,0.875,14.052188053849846,2.2645204890910073
10,6,0.875,0.625,0.125,2.782568956940449,0.8279669205735984
10,6,0.875,0.625,0.375,3.196103186767952,0.7018018308303432
10,6,0.875,0.625,0.625,5.266353442345749,1.6551868004706762
10,6,0.875,0.625,0.875,11.8248050664516,2.639111306790113
10,6,0.875,0.875,0.125,0.6071849790152442,0.48660250283289275
10,6,0.875,0.875,0.375,2.5914353724715014,1.1766991280906338
10,6,0.875,0.875,0.625,6.243640080353181,2.679309072883204
10,6,0.875,0.875,0.875,10.110866587467628,2.8031284229007105
100,6,0.125,0.125,0.125,5.460981375771728,1.1811636199607496
100,6,0.125,0.125,0.375,2.5087142435366103,1.7459348361109648
100,6,0.125,0.125,0.625,3.9915641152249193,1.0801505229880781
100,6,0.125,0.125,0.875,2.985612331642757,0.6293214872154284
100,6,0.125,0.375,0.125,5.655226353162702,0.9367666841065387
100,6,0.125,0.375,0.375,6.566738550658213,3.3652483550494656
100,6,0.125,0.375,0.625,8.357649026636935,2.2336752095227044
100,6,0.125,0.375,0.875,2.3903048313687463,0.7967315673111054
100,6,0.125,0.625,0.125,3.6182030823131357,1.32460302242247
100,6,0.125,0.625,0.375,5.57176769703098,2.5638277198622275
100,6,0.125,0.625,0.625,7.561679756747043,4.606980087261516
100,6,0.125,0.625,0.875,2.7146116910876317,1.192896590209291
100,6,0.125,0.875,0.125,2.984877967351423,1.407085702706186
100,6,0.125,0.875,0.375,7.561678749183227,6.087963281253451
100,6,0.125,0.875,0.625,3.183868982698532,0.7445591811021495
100,6,0.125,0.875,0.875,3.268969604505263,1.764197144731974
100,6,0.375,0.125,0.125,8.617507140235798,1.2992085947293477
100,6,0.375,0.125,0.375,8.13592665701648,2.1970673703481065
100,6,0.375,0.125,0.625,3.911785067765031,1.9404515765439703
100,6,0.375,0.125,0.875,1.614877017957555,0.6489291584729832
100,6,0.375,0.375,0.125,3.2674860962564294,1.612958101176669
100,6,0.375,0.375,0.375,4.178827971135154,1.1603107318069308
100,6,0.375,0.375,0.625,3.7808560776766327,0.3979894538375263
100,6,0.375,0.375,0.875,1.804161781030757,0.7479480412546405
