ngens,dimension,L,mean,std
100,6,59.0,35.96132669948951,19.373614523441706
100,6,60.0,33.795376297285216,14.304370261630071
100,6,61.0,29.632015442210406,14.039372798654295
100,6,62.0,39.36498903448961,19.168113756703246
100,6,63.0,33.42110896780694,13.194699811332402
100,6,64.0,32.64541876215565,16.13213021038778
100,6,65.0,39.22055157141907,19.507287742460104
100,6,66.0,37.25382189338187,18.32525551004954
100,6,67.0,24.466114503995737,15.743385140108016
100,6,68.0,38.736234224122164,18.32808831268864
100,6,69.0,33.80585940910869,15.70633518789755
100,6,70.0,34.56018973614482,19.418255853645476
100,6,71.0,33.38926667223892,17.341978531182612
100,6,72.0,34.67452998021969,11.818122310729816
100,6,73.0,35.9800546018338,17.837833163674873
100,6,74.0,36.24269035450799,18.347907876980223
100,6,75.0,31.50576372278349,21.865129850567925
100,6,76.0,29.57372169417142,20.57709284002615
100,6,77.0,35.24052788196027,16.90950843355289
100,6,78.0,41.100295883369554,18.91583650731212
100,6,79.0,37.428591321705724,15.304293374897425
100,6,80.0,34.41953744608993,12.219571132483653
100,6,81.0,33.55530238723463,10.352244317264649
100,6,82.0,39.72431171798527,22.489826523205334
100,6,83.0,39.41821645071686,20.371523888810902
100,6,84.0,32.815937225637946,19.517602602069722
100,6,85.0,33.524981958020675,15.44924535154668
100,6,86.0,36.37011975030889,17.55196712850977
100,6,87.0,37.70356123350905,17.79810534142321
100,6,88.0,35.035419707585255,19.81731392464151
100,6,89.0,40.770188521088166,17.751718345337167
100,6,90.0,28.735742909285783,11.141896745864154
100,6,91.0,27.41543195478352,18.017338290259097
100,6,92.0,31.62715503624189,13.496514095719935
100,6,93.0,33.600348091200935,14.402147571232296
100,6,94.0,34.937032669807614,16.98663240559469
100,6,95.0,33.237277227209276,16.61143994862196
100,6,96.0,31.611979922247627,17.940678068435872
100,6,97.0,33.48845116964482,16.243649302148718
100,6,98.0,36.02768420730733,15.911531607013224
100,6,99.0,35.429931890279875,16.9213832368777
100,6,100.0,34.96248876082011,18.78699820131993
1000,6,1.0,43.21201835148851,21.163432800867643
1000,6,2.0,42.732607326011575,22.104492952748114
1000,6,3.0,44.224224137670895,19.653993756494312
1000,6,4.0,44.20875837592536,19.69067332840103
1000,6,5.0,44.175468936788114,19.684678531189594
1000,6,6.0,44.36657465159328,19.39779599936922
1000,6,7.0,43.74854208829239,19.785913261802026
1000,6,8.0,43.53416164026507,19.957876488333657
1000,6,9.0,43.54689219821297,19.99468854006262
1000,6,10.0,42.782664834325615,21.483630018547732
1000,6,11.0,42.60438885174379,21.438786696275248
1000,6,12.0,43.769800822121354,19.96545991085209
1000,6,13.0,44.29220372388192,19.01940510016971
1000,6,14.0,43.18109437548119,20.6806602451381
1000,6,15.0,40.39928414034314,18.662693652067134
1000,6,16.0,41.617654636439724,22.979813969524113
1000,6,17.0,42.760096725307974,21.324658215136225
1000,6,18.0,43.52340740058425,20.77883370472653
1000,6,19.0,41.98053493378853,22.67902862835756
1000,6,20.0,42.00686279216795,19.049191710969563
1000,6,21.0,42.41548910945208,22.243561877066746
1000,6,22.0,44.14870737078045,19.651939452766335
1000,6,23.0,42.15114809492567,20.698426437795472
1000,6,24.0,43.377710678482686,18.385660840764633
1000,6,25.0,43.378687584463606,21.757295160718233
1000,6,26.0,44.14447092685498,20.09115443566464
1000,6,27.0,42.40491191203893,20.835446938966967
1000,6,28.0,43.16399032927368,22.710761071259203
1000,6,29.0,41.136517973645425,20.141342785659862
1000,6,30.0,42.19243367151556,19.12291265031595
1000,6,31.0,42.19159102140087,19.923447615733693
1000,6,32.0,43.69210559346158,20.130136837417663
1000,6,33.0,44.19213419502215,20.575152665811352
1000,6,34.0,42.43622807943874,23.140009742161283
1000,6,35.0,38.37039276755447,20.779995813079882
1000,6,36.0,41.79814358294451,22.696026948980393
1000,6,37.0,41.319203692326575,21.582195091548332
1000,6,38.0,42.58504550732676,20.257088311811014
1000,6,39.0,40.79113487747391,22.10166442612753
1000,6,40.0,36.61981253990372,18.786162970377738
1000,6,41.0,38.6612589055076,16.721668910490457
1000,6,42.0,34.85110487628974,17.46461761045649
1000,6,43.0,42.517536289975546,20.117130488454197
1000,6,44.0,41.73220118646144,21.76741543622489
1000,6,45.0,39.973334211879475,14.03406275153732
1000,6,46.0,39.5870984912328,18.56315620677141
1000,6,47.0,40.13015851070654,18.05756945756907
1000,6,48.0,38.420252002533026,18.82054840946486
1000,6,49.0,44.36563893206851,22.217907361886873
1000,6,50.0,37.98322903746987,19.901010525496755
1000,6,51.0,43.1603779377095,20.544435626899165
1000,6,52.0,42.36774984265383,23.088256014707476
1000,6,53.0,39.005945079082174,19.69795627207728
1000,6,54.0,39.62390951783649,21.279137383570927
1000,6,55.0,38.4538110027092,15.898739730573176
1000,6,56.0,34.427711328746476,18.188448220463204
1000,6,57.0,44.61208430587472,20.89535911855968
1000,6,58.0,43.74305588282948,24.741277934409204
1000,6,59.0,35.96132669948951,19.373614523441706
1000,6,60.0,33.795376297285216,14.304370261630071
1000,6,61.0,29.632015442210406,14.039372798654295
1000,6,62.0,39.36498903448961,19.168113756703246
1000,6,63.0,33.42110896780694,13.194699811332402
1000,6,64.0,32.64541876215565,16.13213021038778
1000,6,65.0,39.22055157141907,19.507287742460104
1000,6,66.0,37.25382189338187,18.32525551004954
1000,6,67.0,24.466114503995737,15.743385140108016
1000,6,68.0,38.736234224122164,18.32808831268864
1000,6,69.0,33.80585940910869,15.70633518789755
1000,6,70.0,34.56018973614482,19.418255853645476
1000,6,71.0,33.38926667223892,17.341978531182612
1000,6,72.0,34.67452998021969,11.818122310729816
1000,6,73.0,35.9800546018338,17.837833163674873
1000,6,74.0,36.24269035450799,18.347907876980223
1000,6,75.0,31.50576372278349,21.865129850567925
1000,6,76.0,29.57372169417142,20.57709284002615
1000,6,77.0,35.24052788196027,16.90950843355289
1000,6,78.0,41.100295883369554,18.91583650731212
1000,6,79.0,37.428591321705724,15.304293374897425
1000,6,80.0,34.41953744608993,12.219571132483653
1000,6,81.0,33.55530238723463,10.352244317264649
1000,6,82.0,39.72431171798527,22.489826523205334
1000,6,83.0,39.41821645071686,20.371523888810902
1000,6,84.0,32.815937225637946,19.517602602069722
1000,6,85.0,33.524981958020675,15.44924535154668
1000,6,86.0,36.37011975030889,17.55196712850977
1000,6,87.0,37.70356123350905,17.79810534142321
1000,6,88.0,35.035419707585255,19.81731392464151
1000,6,89.0,40.770188521088166,17.751718345337167
1000,6,90.0,28.735742909285783,11.141896745864154
1000,6,91.0,27.41543195478352,18.017338290259097
1000,6,92.0,31.62715503624189,13.496514095719935
1000,6,93.0,33.600348091200935,14.402147571232296
1000,6,94.0,34.937032669807614,16.98663240559469
1000,6,95.0,33.237277227209276,16.61143994862196
1000,6,96.0,31.611979922247627,17.940678068435872
1000,6,97.0,33.48845116964482,16.243649302148718
1000,6,98.0,36.02768420730733,15.911531607013224
1000,6,99.0,35.429931890279875,16.9213832368777
1000,6,100.0,34.96248876082011,18.78699820131993
5000,6,1.0,43.21201835148851,21.163432800867643
5000,6,2.0,42.732607326011575,22.104492952748114
5000,6,3.0,44.224224137670895,19.653993756494312
5000,6,4.0,44.20875837592536,19.69067332840103
5000,6,5.0,44.175468936788114,19.684678531189594
5000,6,6.0,44.36657465159328,19.39779599936922
5000,6,7.0,43.74854208829239,19.785913261802026
5000,6,8.0,43.53416164026507,19.957876488333657
5000,6,9.0,43.54689219821297,19.99468854006262
5000,6,10.0,42.782664834325615,21.483630018547732
5000,6,11.0,42.60438885174379,21.438786696275248
5000,6,12.0,43.769800822121354,19.96545991085209
5000,6,13.0,44.29220372388192,19.01940510016971
5000,6,14.0,43.18109437548119,20.6806602451381
5000,6,15.0,40.39928414034314,18.662693652067134
5000,6,16.0,41.617654636439724,22.979813969524113
5000,6,17.0,42.760096725307974,21.324658215136225
5000,6,18.0,43.52340740058425,20.77883370472653
5000,6,19.0,41.98053493378853,22.67902862835756
5000,6,20.0,42.00686279216795,19.049191710969563
5000,6,21.0,42.41548910945208,22.243561877066746
5000,6,22.0,44.14870737078045,19.651939452766335
5000,6,23.0,42.15114809492567,20.698426437795472
5000,6,24.0,43.377710678482686,18.385660840764633
5000,6,25.0,43.378687584463606,21.757295160718233
5000,6,26.0,44.14447092685498,20.09115443566464
5000,6,27.0,42.40491191203893,20.835446938966967
5000,6,28.0,43.16399032927368,22.710761071259203
5000,6,29.0,41.136517973645425,20.141342785659862
5000,6,30.0,42.19243367151556,19.12291265031595
5000,6,31.0,42.19159102140087,19.923447615733693
5000,6,32.0,43.69210559346158,20.130136837417663
5000,6,33.0,44.19213419502215,20.575152665811352
5000,6,34.0,42.43622807943874,23.140009742161283
5000,6,35.0,38.37039276755447,20.779995813079882
5000,6,36.0,41.79814358294451,22.696026948980393
5000,6,37.0,41.319203692326575,21.582195091548332
5000,6,38.0,42.58504550732676,20.257088311811014
5000,6,39.0,40.79113487747391,22.10166442612753
5000,6,40.0,36.61981253990372,18.786162970377738
5000,6,41.0,38.6612589055076,16.721668910490457
5000,6,42.0,34.85110487628974,17.46461761045649
5000,6,43.0,42.517536289975546,20.117130488454197
5000,6,44.0,41.73220118646144,21.76741543622489
5000,6,45.0,39.973334211879475,14.03406275153732
5000,6,46.0,39.5870984912328,18.56315620677141
5000,6,47.0,40.13015851070654,18.05756945756907
5000,6,48.0,38.420252002533026,18.82054840946486
5000,6,49.0,44.36563893206851,22.217907361886873
5000,6,50.0,37.98322903746987,19.901010525496755
5000,6,51.0,43.1603779377095,20.544435626899165
5000,6,52.0,42.36774984265383,23.088256014707476
5000,6,53.0,39.005945079082174,19.69795627207728
5000,6,54.0,39.62390951783649,21.279137383570927
5000,6,55.0,38.4538110027092,15.898739730573176
5000,6,56.0,34.427711328746476,18.188448220463204
5000,6,57.0,44.61208430587472,20.89535911855968
5000,6,58.0,43.74305588282948,24.741277934409204
5000,6,59.0,35.96132669948951,19.373614523441706
5000,6,60.0,33.795376297285216,14.304370261630071
5000,6,61.0,29.632015442210406,14.039372798654295
5000,6,62.0,39.36498903448961,19.168113756703246
5000,6,63.0,33.42110896780694,13.194699811332402
5000,6,64.0,32.64541876215565,16.13213021038778
5000,6,65.0,39.22055157141907,19.507287742460104
5000,6,66.0,37.25382189338187,18.32525551004954
5000,6,67.0,24.466114503995737,15.743385140108016
5000,6,68.0,38.736234224122164,18.32808831268864
5000,6,69.0,33.80585940910869,15.70633518789755
5000,6,70.0,34.56018973614482,19.418255853645476
5000,6,71.0,33.38926667223892,17.341978531182612
5000,6,72.0,34.67452998021969,11.818122310729816
5000,6,73.0,35.9800546018338,17.837833163674873
5000,6,74.0,36.24269035450799,18.347907876980223
5000,6,75.0,31.50576372278349,21.865129850567925
5000,6,76.0,29.57372169417142,20.57709284002615
5000,6,77.0,35.24052788196027,16.90950843355289
5000,6,78.0,41.100295883369554,18.91583650731212
5000,6,79.0,37.428591321705724,15.304293374897425
5000,6,80.0,34.41953744608993,12.219571132483653
5000,6,81.0,33.55530238723463,10.352244317264649
5000,6,82.0,39.72431171798527,22.489826523205334
5000,6,83.0,39.41821645071686,20.371523888810902
5000,6,84.0,32.815937225637946,19.517602602069722
5000,6,85.0,33.524981958020675,15.44924535154668
5000,6,86.0,36.37011975030889,17.55196712850977
5000,6,87.0,37.70356123350905,17.79810534142321
5000,6,88.0,35.035419707585255,19.81731392464151
5000,6,89.0,40.770188521088166,17.751718345337167
5000,6,90.0,28.735742909285783,11.141896745864154
5000,6,91.0,27.41543195478352,18.017338290259097
5000,6,92.0,31.62715503624189,13.496514095719935
5000,6,93.0,33.600348091200935,14.402147571232296
5000,6,94.0,34.937032669807614,16.98663240559469
5000,6,95.0,33.237277227209276,16.61143994862196
5000,6,96.0,31.611979922247627,17.940678068435872
5000,6,97.0,33.48845116964482,16.243649302148718
5000,6,98.0,36.02768420730733,15.911531607013224
5000,6,99.0,35.429931890279875,16.9213832368777
5000,6,100.0,34.96248876082011,18.78699820131993
